"Family","J","Scenario","Selected_group","Method","Bias","RMSE","Coverage","Width","n_point","n_ci"
"Normal",4,"H1",4,"CMUE-MLE","0.01693 (0.001144)","0.1813 (0.0008817)","0.9712 (0.001060)","0.7089 (0.0004380)",24900,24900
"Normal",4,"H1",4,"CMUE-ZERO","0.07299 (0.001165)","0.1979 (0.0009411)","0.9357 (0.001554)","0.6363 (0.0004390)",24900,24900
"Normal",4,"H1",4,"RB","0.00001175 (0.001238)","0.1953 (0.0009758)","0.9525 (0.001348)","0.7636 (0.0005695)",24898,24897
"Normal",4,"Peak",1,"Stage 2","-0.002146 (0.002571)","0.2840 (0.001833)","0.9495 (0.001982)","1.109 (0.0000000000000000006896)",12203,12203
"Normal",4,"Peak",1,"Naive","0.07707 (0.001548)","0.1875 (0.001398)","0.7807 (0.003746)","0.5213 (0.002061)",12203,12203
"Normal",4,"Peak",1,"CBAE-SI","0.0002267 (0.001566)","0.1730 (0.001319)","—","—",12203,
"Normal",4,"Peak",1,"CBAE-MI","-0.03591 (0.001680)","0.1876 (0.001443)","—","—",12013,
"Normal",4,"Peak",1,"CMUE-MLE","0.00007665 (0.001736)","0.1917 (0.001631)","0.9664 (0.001631)","0.6992 (0.0007400)",12203,12203
"Normal",4,"Peak",1,"CMUE-ZERO","0.03888 (0.001793)","0.2019 (0.001637)","0.9376 (0.002190)","0.6745 (0.0007663)",12203,12203
"Normal",4,"Peak",1,"RB","-0.001824 (0.001711)","0.1890 (0.001773)","0.9629 (0.001712)","0.7292 (0.0007375)",12202,12202
"Normal",4,"Peak",2,"Stage 2","-0.002349 (0.002559)","0.2820 (0.001810)","0.9505 (0.001969)","1.109 (0.0000000000000000006679)",12138,12138
"Normal",4,"Peak",2,"Naive","0.08059 (0.001548)","0.1886 (0.001383)","0.7783 (0.003770)","0.5168 (0.002062)",12138,12138
"Normal",4,"Peak",2,"CBAE-SI","0.003685 (0.001564)","0.1724 (0.001288)","—","—",12138,
"Normal",4,"Peak",2,"CBAE-MI","-0.03279 (0.001680)","0.1866 (0.001422)","—","—",11962,
"Normal",4,"Peak",2,"CMUE-MLE","0.004363 (0.001718)","0.1894 (0.001565)","0.9675 (0.001611)","0.6976 (0.0007141)",12138,12138
"Normal",4,"Peak",2,"CMUE-ZERO","0.04353 (0.001776)","0.2004 (0.001596)","0.9371 (0.002203)","0.6726 (0.0007294)",12138,12138
"Normal",4,"Peak",2,"RB","0.001913 (0.001693)","0.1865 (0.001668)","0.9627 (0.001721)","0.7279 (0.0007126)",12136,12135
"Normal",4,"Peak",3,"Stage 2","-0.005351 (0.002508)","0.2756 (0.001751)","0.9591 (0.001803)","1.109 (0.0000000000000000006718)",12072,12072
"Normal",4,"Peak",3,"Naive","0.07823 (0.001519)","0.1843 (0.001369)","0.7844 (0.003743)","0.5160 (0.002040)",12072,12072
"Normal",4,"Peak",3,"CBAE-SI","0.001036 (0.001533)","0.1684 (0.001261)","—","—",12072,
"Normal",4,"Peak",3,"CBAE-MI","-0.03520 (0.001650)","0.1833 (0.001369)","—","—",11877,
"Normal",4,"Peak",3,"CMUE-MLE","0.001577 (0.001686)","0.1852 (0.001509)","0.9710 (0.001527)","0.6977 (0.0007154)",12072,12072
"Normal",4,"Peak",3,"CMUE-ZERO","0.04106 (0.001741)","0.1956 (0.001540)","0.9437 (0.002098)","0.6730 (0.0007371)",12072,12072
"Normal",4,"Peak",3,"RB","-0.0008820 (0.001671)","0.1836 (0.001638)","0.9667 (0.001633)","0.7271 (0.0007051)",12071,12070
"Normal",4,"Peak",4,"Stage 2","-0.0004592 (0.001132)","0.2828 (0.0008033)","0.9509 (0.0008647)","1.109 (0.0000000000000000004818)",62423,62423
"Normal",4,"Peak",4,"Naive","0.05498 (0.0006886)","0.1806 (0.0006008)","0.8074 (0.001578)","0.5731 (0.0009478)",62423,62423
"Normal",4,"Peak",4,"CBAE-SI","-0.003759 (0.0007026)","0.1756 (0.0005830)","—","—",62423,
"Normal",4,"Peak",4,"CBAE-MI","-0.02336 (0.0007171)","0.1806 (0.0005986)","—","—",62353,
